genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Viola_x_palmata,Viola  x palmata,42327,Early Blue Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.853199,35.613994
Viola_x_palmata,Viola  x palmata,42327,Early Blue Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.851173,35.61662
Viola_x_palmata,Viola  x palmata,42327,Early Blue Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.850433,35.615664
Viola_x_palmata,Viola  x palmata,42327,Early Blue Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.848954,35.6166
Viola_x_palmata,Viola  x palmata,42327,Early Blue Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.842117,35.535654
Viola_x_palmata,Viola  x palmata,42327,Early Blue Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.838505,35.551431
Viola_x_palmata,Viola  x palmata,42327,Early Blue Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.836374,35.576997
Viola_x_palmata,Viola  x palmata,42327,Early Blue Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.835267,35.455356
Viola_x_palmata,Viola  x palmata,42327,Early Blue Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.830181,35.540225
Viola_x_palmata,Viola  x palmata,42327,Early Blue Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.829319,35.551142
Viola_x_palmata,Viola  x palmata,42327,Early Blue Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.824687,35.609862
Viola_x_palmata,Viola  x palmata,42327,Early Blue Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.806963,35.646825
Viola_x_palmata,Viola  x palmata,42327,Early Blue Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.805637,35.609857
Viola_x_palmata,Viola  x palmata,42327,Early Blue Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.750513,35.638673
Viola_x_palmata,Viola  x palmata,42327,Early Blue Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.717655,35.467581
Viola_x_palmata,Viola  x palmata,42327,Early Blue Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.711675,35.663647
Viola_x_palmata,Viola  x palmata,42327,Early Blue Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.696649,35.641812
Viola_x_palmata,Viola  x palmata,42327,Early Blue Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.651772,35.679448
Viola_x_palmata,Viola  x palmata,42327,Early Blue Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.629296,35.470747
Viola_x_palmata,Viola  x palmata,42327,Early Blue Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.599032,35.446904
Viola_x_palmata,Viola  x palmata,42327,Early Blue Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.552187,35.465832
Viola_x_palmata,Viola  x palmata,42327,Early Blue Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.548795,35.462389
Viola_x_palmata,Viola  x palmata,42327,Early Blue Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.543872,35.460672
Viola_x_palmata,Viola  x palmata,42327,Early Blue Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.507715,35.495141
Viola_x_palmata,Viola  x palmata,42327,Early Blue Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.39728,35.679659
