genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Juncus_effusus_v_solutus,Juncus  effusus v. solutus,21009,Lamp Rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.975843,35.51322
Juncus_effusus_v_solutus,Juncus  effusus v. solutus,21009,Lamp Rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.787021,35.597545
Juncus_effusus_v_solutus,Juncus  effusus v. solutus,21009,Lamp Rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.681117,35.50164
Juncus_effusus_v_solutus,Juncus  effusus v. solutus,21009,Lamp Rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.663862,35.442083
Juncus_effusus_v_solutus,Juncus  effusus v. solutus,21009,Lamp Rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.571812,35.453436
Juncus_effusus_v_solutus,Juncus  effusus v. solutus,21009,Lamp Rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.558065,35.47017
Juncus_effusus_v_solutus,Juncus  effusus v. solutus,21009,Lamp Rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.542697,35.565292
Juncus_effusus_v_solutus,Juncus  effusus v. solutus,21009,Lamp Rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.425723,35.48053
Juncus_effusus_v_solutus,Juncus  effusus v. solutus,21009,Lamp Rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.414348,35.482326
Juncus_effusus_v_solutus,Juncus  effusus v. solutus,21009,Lamp Rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.406232,35.731941
Juncus_effusus_v_solutus,Juncus  effusus v. solutus,21009,Lamp Rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.393493,35.708543
Juncus_effusus_v_solutus,Juncus  effusus v. solutus,21009,Lamp Rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.309586,35.551994
Juncus_effusus_v_solutus,Juncus  effusus v. solutus,21009,Lamp Rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.301349,35.511542
Juncus_effusus_v_solutus,Juncus  effusus v. solutus,21009,Lamp Rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.29815,35.537772
Juncus_effusus_v_solutus,Juncus  effusus v. solutus,21009,Lamp Rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.199072,35.756198
Juncus_effusus_v_solutus,Juncus  effusus v. solutus,21009,Lamp Rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.172585,35.549457
Juncus_effusus_v_solutus,Juncus  effusus v. solutus,21009,Lamp Rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.12817,35.738202
