genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Muhlenbergia_tenuiflora,Muhlenbergia  tenuiflora,24431,Slender Muhly,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.979721,35.523002
Muhlenbergia_tenuiflora,Muhlenbergia  tenuiflora,24431,Slender Muhly,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.773079,35.58176
Muhlenbergia_tenuiflora,Muhlenbergia  tenuiflora,24431,Slender Muhly,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.767263,35.583616
Muhlenbergia_tenuiflora,Muhlenbergia  tenuiflora,24431,Slender Muhly,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.766721,35.583592
Muhlenbergia_tenuiflora,Muhlenbergia  tenuiflora,24431,Slender Muhly,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.764968,35.57817
Muhlenbergia_tenuiflora,Muhlenbergia  tenuiflora,24431,Slender Muhly,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.758579,35.638849
Muhlenbergia_tenuiflora,Muhlenbergia  tenuiflora,24431,Slender Muhly,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.756895,35.588243
Muhlenbergia_tenuiflora,Muhlenbergia  tenuiflora,24431,Slender Muhly,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.75635,35.638269
Muhlenbergia_tenuiflora,Muhlenbergia  tenuiflora,24431,Slender Muhly,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.749006,35.637896
Muhlenbergia_tenuiflora,Muhlenbergia  tenuiflora,24431,Slender Muhly,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.748544,35.636014
Muhlenbergia_tenuiflora,Muhlenbergia  tenuiflora,24431,Slender Muhly,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.724217,35.471363
Muhlenbergia_tenuiflora,Muhlenbergia  tenuiflora,24431,Slender Muhly,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.717955,35.467655
Muhlenbergia_tenuiflora,Muhlenbergia  tenuiflora,24431,Slender Muhly,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.697446,35.479373
Muhlenbergia_tenuiflora,Muhlenbergia  tenuiflora,24431,Slender Muhly,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.60704,35.447912
Muhlenbergia_tenuiflora,Muhlenbergia  tenuiflora,24431,Slender Muhly,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.595496,35.527391
Muhlenbergia_tenuiflora,Muhlenbergia  tenuiflora,24431,Slender Muhly,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.556188,35.47039
Muhlenbergia_tenuiflora,Muhlenbergia  tenuiflora,24431,Slender Muhly,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.521938,35.509014
Muhlenbergia_tenuiflora,Muhlenbergia  tenuiflora,24431,Slender Muhly,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.516522,35.472188
Muhlenbergia_tenuiflora,Muhlenbergia  tenuiflora,24431,Slender Muhly,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.515539,35.473164
Muhlenbergia_tenuiflora,Muhlenbergia  tenuiflora,24431,Slender Muhly,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.369996,35.58109
Muhlenbergia_tenuiflora,Muhlenbergia  tenuiflora,24431,Slender Muhly,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.224869,35.755697
Muhlenbergia_tenuiflora,Muhlenbergia  tenuiflora,24431,Slender Muhly,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.190972,35.767298
Muhlenbergia_tenuiflora,Muhlenbergia  tenuiflora,24431,Slender Muhly,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.126572,35.740898
Muhlenbergia_tenuiflora,Muhlenbergia  tenuiflora,24431,Slender Muhly,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.122974,35.741998
