genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Viola_macloskeyi_variety,Viola  macloskeyi variety,42324,Smooth White Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.927176,35.617472
Viola_macloskeyi_variety,Viola  macloskeyi variety,42324,Smooth White Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.371212,35.646211
Viola_macloskeyi_variety,Viola  macloskeyi variety,42324,Smooth White Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.161516,35.635015
Viola_macloskeyi_variety,Viola  macloskeyi variety,42324,Smooth White Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.139035,35.603153
Viola_macloskeyi_variety,Viola  macloskeyi variety,42324,Smooth White Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.132982,35.596752
Viola_macloskeyi_variety,Viola  macloskeyi variety,42324,Smooth White Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.129699,35.639043
Viola_macloskeyi_variety,Viola  macloskeyi variety,42324,Smooth White Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.12887,35.603171
Viola_macloskeyi_variety,Viola  macloskeyi variety,42324,Smooth White Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.125776,35.597637
Viola_macloskeyi_variety,Viola  macloskeyi variety,42324,Smooth White Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.120101,35.607184
Viola_macloskeyi_variety,Viola  macloskeyi variety,42324,Smooth White Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.119638,35.61224
Viola_macloskeyi_variety,Viola  macloskeyi variety,42324,Smooth White Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.109115,35.594035
Viola_macloskeyi_variety,Viola  macloskeyi variety,42324,Smooth White Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.107043,35.575619
Viola_macloskeyi_variety,Viola  macloskeyi variety,42324,Smooth White Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.095809,35.587416
Viola_macloskeyi_variety,Viola  macloskeyi variety,42324,Smooth White Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.087894,35.630653
Viola_macloskeyi_variety,Viola  macloskeyi variety,42324,Smooth White Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.087655,35.583682
Viola_macloskeyi_variety,Viola  macloskeyi variety,42324,Smooth White Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.087611,35.621066
Viola_macloskeyi_variety,Viola  macloskeyi variety,42324,Smooth White Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.083762,35.633537
Viola_macloskeyi_variety,Viola  macloskeyi variety,42324,Smooth White Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.061403,35.63576
