genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Eunotia_exigua,Eunotia  exigua,15580,Meager Enotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.851998,35.471212
Eunotia_exigua,Eunotia  exigua,15580,Meager Enotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.483452,35.557965
Eunotia_exigua,Eunotia  exigua,15580,Meager Enotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.474394,35.66181
Eunotia_exigua,Eunotia  exigua,15580,Meager Enotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.473982,35.592232
Eunotia_exigua,Eunotia  exigua,15580,Meager Enotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.471144,35.634114
Eunotia_exigua,Eunotia  exigua,15580,Meager Enotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.469275,35.611077
Eunotia_exigua,Eunotia  exigua,15580,Meager Enotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.465776,35.527591
Eunotia_exigua,Eunotia  exigua,15580,Meager Enotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.450996,35.627342
Eunotia_exigua,Eunotia  exigua,15580,Meager Enotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.450601,35.67113
Eunotia_exigua,Eunotia  exigua,15580,Meager Enotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.416957,35.622541
Eunotia_exigua,Eunotia  exigua,15580,Meager Enotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.416351,35.736452
Eunotia_exigua,Eunotia  exigua,15580,Meager Enotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.415451,35.600361
Eunotia_exigua,Eunotia  exigua,15580,Meager Enotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.397226,35.678966
Eunotia_exigua,Eunotia  exigua,15580,Meager Enotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.396573,35.667081
Eunotia_exigua,Eunotia  exigua,15580,Meager Enotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.383069,35.70701
Eunotia_exigua,Eunotia  exigua,15580,Meager Enotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.382706,35.705944
Eunotia_exigua,Eunotia  exigua,15580,Meager Enotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.334022,35.700941
Eunotia_exigua,Eunotia  exigua,15580,Meager Enotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.32826,35.613706
Eunotia_exigua,Eunotia  exigua,15580,Meager Enotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.311037,35.561395
Eunotia_exigua,Eunotia  exigua,15580,Meager Enotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.306101,35.511956
Eunotia_exigua,Eunotia  exigua,15580,Meager Enotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.301005,35.707201
Eunotia_exigua,Eunotia  exigua,15580,Meager Enotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.2792,35.737057
Eunotia_exigua,Eunotia  exigua,15580,Meager Enotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.277235,35.756564
Eunotia_exigua,Eunotia  exigua,15580,Meager Enotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.271784,35.728994
Eunotia_exigua,Eunotia  exigua,15580,Meager Enotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.266221,35.726575
Eunotia_exigua,Eunotia  exigua,15580,Meager Enotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.259218,35.607629
Eunotia_exigua,Eunotia  exigua,15580,Meager Enotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.25172,35.726667
Eunotia_exigua,Eunotia  exigua,15580,Meager Enotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.246604,35.732243
Eunotia_exigua,Eunotia  exigua,15580,Meager Enotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.218012,35.781559
Eunotia_exigua,Eunotia  exigua,15580,Meager Enotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.216185,35.744003
Eunotia_exigua,Eunotia  exigua,15580,Meager Enotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.211437,35.619784
Eunotia_exigua,Eunotia  exigua,15580,Meager Enotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.210563,35.759431
Eunotia_exigua,Eunotia  exigua,15580,Meager Enotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.17458,35.571868
Eunotia_exigua,Eunotia  exigua,15580,Meager Enotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.145283,35.634593
Eunotia_exigua,Eunotia  exigua,15580,Meager Enotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.129027,35.638667
Eunotia_exigua,Eunotia  exigua,15580,Meager Enotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.110107,35.747985
