genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Cryptotaenia_canadensis,Cryptotaenia  canadensis,10755,Canadian Honewort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.985726,35.53064
Cryptotaenia_canadensis,Cryptotaenia  canadensis,10755,Canadian Honewort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.511296,35.512454
Cryptotaenia_canadensis,Cryptotaenia  canadensis,10755,Canadian Honewort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.499051,35.701979
Cryptotaenia_canadensis,Cryptotaenia  canadensis,10755,Canadian Honewort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.495438,35.634938
Cryptotaenia_canadensis,Cryptotaenia  canadensis,10755,Canadian Honewort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.39728,35.679659
Cryptotaenia_canadensis,Cryptotaenia  canadensis,10755,Canadian Honewort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.302433,35.508213
Cryptotaenia_canadensis,Cryptotaenia  canadensis,10755,Canadian Honewort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.278181,35.743999
Cryptotaenia_canadensis,Cryptotaenia  canadensis,10755,Canadian Honewort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.277079,35.751492
Cryptotaenia_canadensis,Cryptotaenia  canadensis,10755,Canadian Honewort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.275972,35.749494
Cryptotaenia_canadensis,Cryptotaenia  canadensis,10755,Canadian Honewort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.206274,35.755895
Cryptotaenia_canadensis,Cryptotaenia  canadensis,10755,Canadian Honewort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.187233,35.588811
Cryptotaenia_canadensis,Cryptotaenia  canadensis,10755,Canadian Honewort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.0601,35.591836
