genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Carex_laxiflora_variety,Carex  laxiflora variety,7043,Broad Looseflower Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.989152,35.564407
Carex_laxiflora_variety,Carex  laxiflora variety,7043,Broad Looseflower Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.516241,35.472375
Carex_laxiflora_variety,Carex  laxiflora variety,7043,Broad Looseflower Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.509011,35.511979
Carex_laxiflora_variety,Carex  laxiflora variety,7043,Broad Looseflower Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.381796,35.71028
Carex_laxiflora_variety,Carex  laxiflora variety,7043,Broad Looseflower Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.271275,35.763996
Carex_laxiflora_variety,Carex  laxiflora variety,7043,Broad Looseflower Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.265471,35.612903
Carex_laxiflora_variety,Carex  laxiflora variety,7043,Broad Looseflower Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.204878,35.748196
Carex_laxiflora_variety,Carex  laxiflora variety,7043,Broad Looseflower Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.201777,35.780099
Carex_laxiflora_variety,Carex  laxiflora variety,7043,Broad Looseflower Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.196769,35.760098
Carex_laxiflora_variety,Carex  laxiflora variety,7043,Broad Looseflower Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.122673,35.759798
Carex_laxiflora_variety,Carex  laxiflora variety,7043,Broad Looseflower Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.109074,35.751996
