genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Lithobates_clamitans_melanota,Lithobates  clamitans melanota,23064,Green Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.99419,35.540912
Lithobates_clamitans_melanota,Lithobates  clamitans melanota,23064,Green Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.835258,35.588848
Lithobates_clamitans_melanota,Lithobates  clamitans melanota,23064,Green Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.828779,35.669252
Lithobates_clamitans_melanota,Lithobates  clamitans melanota,23064,Green Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.821933,35.607187
Lithobates_clamitans_melanota,Lithobates  clamitans melanota,23064,Green Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.81712,35.6062
Lithobates_clamitans_melanota,Lithobates  clamitans melanota,23064,Green Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.814984,35.592181
Lithobates_clamitans_melanota,Lithobates  clamitans melanota,23064,Green Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.807763,35.644129
Lithobates_clamitans_melanota,Lithobates  clamitans melanota,23064,Green Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.807565,35.644134
Lithobates_clamitans_melanota,Lithobates  clamitans melanota,23064,Green Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.805539,35.610517
Lithobates_clamitans_melanota,Lithobates  clamitans melanota,23064,Green Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.793778,35.603977
Lithobates_clamitans_melanota,Lithobates  clamitans melanota,23064,Green Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.788595,35.59329
Lithobates_clamitans_melanota,Lithobates  clamitans melanota,23064,Green Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.7885,35.593428
Lithobates_clamitans_melanota,Lithobates  clamitans melanota,23064,Green Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.782483,35.603851
Lithobates_clamitans_melanota,Lithobates  clamitans melanota,23064,Green Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.748309,35.636867
Lithobates_clamitans_melanota,Lithobates  clamitans melanota,23064,Green Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.747393,35.607865
Lithobates_clamitans_melanota,Lithobates  clamitans melanota,23064,Green Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.743781,35.610372
Lithobates_clamitans_melanota,Lithobates  clamitans melanota,23064,Green Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.743779,35.610643
Lithobates_clamitans_melanota,Lithobates  clamitans melanota,23064,Green Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.636373,35.688854
Lithobates_clamitans_melanota,Lithobates  clamitans melanota,23064,Green Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.537944,35.686473
Lithobates_clamitans_melanota,Lithobates  clamitans melanota,23064,Green Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.215716,35.780925
Lithobates_clamitans_melanota,Lithobates  clamitans melanota,23064,Green Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.11832,35.759135
