genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Poa_alsodes,Poa  alsodes,31856,Grove Blue Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.99102,35.53187
Poa_alsodes,Poa  alsodes,31856,Grove Blue Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.54839,35.4621
Poa_alsodes,Poa  alsodes,31856,Grove Blue Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.543159,35.611622
Poa_alsodes,Poa  alsodes,31856,Grove Blue Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.520611,35.565279
Poa_alsodes,Poa  alsodes,31856,Grove Blue Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.516994,35.562479
Poa_alsodes,Poa  alsodes,31856,Grove Blue Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.51335,35.563069
Poa_alsodes,Poa  alsodes,31856,Grove Blue Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.494154,35.539536
Poa_alsodes,Poa  alsodes,31856,Grove Blue Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.493853,35.540516
Poa_alsodes,Poa  alsodes,31856,Grove Blue Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.492019,35.548955
Poa_alsodes,Poa  alsodes,31856,Grove Blue Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.478283,35.627171
Poa_alsodes,Poa  alsodes,31856,Grove Blue Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.477582,35.648458
Poa_alsodes,Poa  alsodes,31856,Grove Blue Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.4768,35.565863
Poa_alsodes,Poa  alsodes,31856,Grove Blue Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.4729,35.664211
Poa_alsodes,Poa  alsodes,31856,Grove Blue Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.468733,35.682063
Poa_alsodes,Poa  alsodes,31856,Grove Blue Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.461885,35.532691
Poa_alsodes,Poa  alsodes,31856,Grove Blue Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.457305,35.53255
Poa_alsodes,Poa  alsodes,31856,Grove Blue Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.43345,35.673813
Poa_alsodes,Poa  alsodes,31856,Grove Blue Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.254869,35.610397
Poa_alsodes,Poa  alsodes,31856,Grove Blue Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.209575,35.752896
Poa_alsodes,Poa  alsodes,31856,Grove Blue Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.131275,35.736497
Poa_alsodes,Poa  alsodes,31856,Grove Blue Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.081423,35.58635
