genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Eunotia_rhomboidea,Eunotia  rhomboidea,15617,Rhomboid Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.935377,35.495348
Eunotia_rhomboidea,Eunotia  rhomboidea,15617,Rhomboid Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.659292,35.503304
Eunotia_rhomboidea,Eunotia  rhomboidea,15617,Rhomboid Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.647863,35.677831
Eunotia_rhomboidea,Eunotia  rhomboidea,15617,Rhomboid Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.637218,35.606074
Eunotia_rhomboidea,Eunotia  rhomboidea,15617,Rhomboid Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.634905,35.641187
Eunotia_rhomboidea,Eunotia  rhomboidea,15617,Rhomboid Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.631006,35.522484
Eunotia_rhomboidea,Eunotia  rhomboidea,15617,Rhomboid Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.606831,35.647477
Eunotia_rhomboidea,Eunotia  rhomboidea,15617,Rhomboid Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.600233,35.663664
Eunotia_rhomboidea,Eunotia  rhomboidea,15617,Rhomboid Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.596541,35.627059
Eunotia_rhomboidea,Eunotia  rhomboidea,15617,Rhomboid Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.582943,35.544426
Eunotia_rhomboidea,Eunotia  rhomboidea,15617,Rhomboid Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.567616,35.596672
Eunotia_rhomboidea,Eunotia  rhomboidea,15617,Rhomboid Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.566501,35.466214
Eunotia_rhomboidea,Eunotia  rhomboidea,15617,Rhomboid Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.558312,35.512709
Eunotia_rhomboidea,Eunotia  rhomboidea,15617,Rhomboid Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.553153,35.642309
Eunotia_rhomboidea,Eunotia  rhomboidea,15617,Rhomboid Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.548021,35.609013
Eunotia_rhomboidea,Eunotia  rhomboidea,15617,Rhomboid Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.540372,35.615638
Eunotia_rhomboidea,Eunotia  rhomboidea,15617,Rhomboid Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.538561,35.620868
Eunotia_rhomboidea,Eunotia  rhomboidea,15617,Rhomboid Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.527535,35.530728
Eunotia_rhomboidea,Eunotia  rhomboidea,15617,Rhomboid Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.515005,35.538742
Eunotia_rhomboidea,Eunotia  rhomboidea,15617,Rhomboid Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.512746,35.590709
Eunotia_rhomboidea,Eunotia  rhomboidea,15617,Rhomboid Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.510819,35.697705
Eunotia_rhomboidea,Eunotia  rhomboidea,15617,Rhomboid Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.503544,35.494993
Eunotia_rhomboidea,Eunotia  rhomboidea,15617,Rhomboid Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.481103,35.507175
Eunotia_rhomboidea,Eunotia  rhomboidea,15617,Rhomboid Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.471144,35.634114
Eunotia_rhomboidea,Eunotia  rhomboidea,15617,Rhomboid Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.469275,35.611077
Eunotia_rhomboidea,Eunotia  rhomboidea,15617,Rhomboid Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.465776,35.527591
Eunotia_rhomboidea,Eunotia  rhomboidea,15617,Rhomboid Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.450996,35.627342
Eunotia_rhomboidea,Eunotia  rhomboidea,15617,Rhomboid Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.450545,35.607855
Eunotia_rhomboidea,Eunotia  rhomboidea,15617,Rhomboid Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.440884,35.62085
Eunotia_rhomboidea,Eunotia  rhomboidea,15617,Rhomboid Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.435213,35.604921
Eunotia_rhomboidea,Eunotia  rhomboidea,15617,Rhomboid Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.434027,35.604764
Eunotia_rhomboidea,Eunotia  rhomboidea,15617,Rhomboid Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.425853,35.478283
Eunotia_rhomboidea,Eunotia  rhomboidea,15617,Rhomboid Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.418125,35.559384
Eunotia_rhomboidea,Eunotia  rhomboidea,15617,Rhomboid Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.416351,35.736452
Eunotia_rhomboidea,Eunotia  rhomboidea,15617,Rhomboid Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.415451,35.600361
Eunotia_rhomboidea,Eunotia  rhomboidea,15617,Rhomboid Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.397226,35.678966
Eunotia_rhomboidea,Eunotia  rhomboidea,15617,Rhomboid Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.396573,35.667081
Eunotia_rhomboidea,Eunotia  rhomboidea,15617,Rhomboid Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.396358,35.721565
Eunotia_rhomboidea,Eunotia  rhomboidea,15617,Rhomboid Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.383069,35.70701
Eunotia_rhomboidea,Eunotia  rhomboidea,15617,Rhomboid Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.382706,35.705944
Eunotia_rhomboidea,Eunotia  rhomboidea,15617,Rhomboid Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.364208,35.593626
Eunotia_rhomboidea,Eunotia  rhomboidea,15617,Rhomboid Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.358628,35.584
Eunotia_rhomboidea,Eunotia  rhomboidea,15617,Rhomboid Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.334022,35.700941
Eunotia_rhomboidea,Eunotia  rhomboidea,15617,Rhomboid Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.333263,35.701046
Eunotia_rhomboidea,Eunotia  rhomboidea,15617,Rhomboid Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.32826,35.613706
Eunotia_rhomboidea,Eunotia  rhomboidea,15617,Rhomboid Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.311774,35.553268
Eunotia_rhomboidea,Eunotia  rhomboidea,15617,Rhomboid Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.311037,35.561395
Eunotia_rhomboidea,Eunotia  rhomboidea,15617,Rhomboid Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.301005,35.707201
Eunotia_rhomboidea,Eunotia  rhomboidea,15617,Rhomboid Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.2792,35.737057
Eunotia_rhomboidea,Eunotia  rhomboidea,15617,Rhomboid Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.277235,35.756564
Eunotia_rhomboidea,Eunotia  rhomboidea,15617,Rhomboid Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.271784,35.728994
Eunotia_rhomboidea,Eunotia  rhomboidea,15617,Rhomboid Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.266221,35.726575
Eunotia_rhomboidea,Eunotia  rhomboidea,15617,Rhomboid Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.218012,35.781559
Eunotia_rhomboidea,Eunotia  rhomboidea,15617,Rhomboid Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.216185,35.744003
Eunotia_rhomboidea,Eunotia  rhomboidea,15617,Rhomboid Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.211437,35.619784
Eunotia_rhomboidea,Eunotia  rhomboidea,15617,Rhomboid Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.210563,35.759431
Eunotia_rhomboidea,Eunotia  rhomboidea,15617,Rhomboid Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.20055,35.746003
Eunotia_rhomboidea,Eunotia  rhomboidea,15617,Rhomboid Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.198763,35.744567
Eunotia_rhomboidea,Eunotia  rhomboidea,15617,Rhomboid Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.194072,35.626682
Eunotia_rhomboidea,Eunotia  rhomboidea,15617,Rhomboid Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.179435,35.770095
Eunotia_rhomboidea,Eunotia  rhomboidea,15617,Rhomboid Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.17458,35.571868
Eunotia_rhomboidea,Eunotia  rhomboidea,15617,Rhomboid Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.168465,35.55458
Eunotia_rhomboidea,Eunotia  rhomboidea,15617,Rhomboid Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.145534,35.634047
Eunotia_rhomboidea,Eunotia  rhomboidea,15617,Rhomboid Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.145283,35.634593
Eunotia_rhomboidea,Eunotia  rhomboidea,15617,Rhomboid Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.13158,35.600491
Eunotia_rhomboidea,Eunotia  rhomboidea,15617,Rhomboid Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.130907,35.637102
Eunotia_rhomboidea,Eunotia  rhomboidea,15617,Rhomboid Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.129027,35.638667
Eunotia_rhomboidea,Eunotia  rhomboidea,15617,Rhomboid Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.12857,35.609378
Eunotia_rhomboidea,Eunotia  rhomboidea,15617,Rhomboid Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.122067,35.58299
Eunotia_rhomboidea,Eunotia  rhomboidea,15617,Rhomboid Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.119423,35.634618
Eunotia_rhomboidea,Eunotia  rhomboidea,15617,Rhomboid Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.114036,35.622525
Eunotia_rhomboidea,Eunotia  rhomboidea,15617,Rhomboid Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.110107,35.747985
Eunotia_rhomboidea,Eunotia  rhomboidea,15617,Rhomboid Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.105586,35.757259
Eunotia_rhomboidea,Eunotia  rhomboidea,15617,Rhomboid Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.098385,35.667871
Eunotia_rhomboidea,Eunotia  rhomboidea,15617,Rhomboid Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.096404,35.682509
Eunotia_rhomboidea,Eunotia  rhomboidea,15617,Rhomboid Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.0887,35.626843
Eunotia_rhomboidea,Eunotia  rhomboidea,15617,Rhomboid Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.085591,35.6287
Eunotia_rhomboidea,Eunotia  rhomboidea,15617,Rhomboid Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.075672,35.644377
Eunotia_rhomboidea,Eunotia  rhomboidea,15617,Rhomboid Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.072961,35.66723
Eunotia_rhomboidea,Eunotia  rhomboidea,15617,Rhomboid Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.072903,35.664978
