genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Viburnum_nudum_v_cassinoides,Viburnum  nudum v. cassinoides,42276,Possomhaw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.975499,35.556696
Viburnum_nudum_v_cassinoides,Viburnum  nudum v. cassinoides,42276,Possomhaw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.451953,35.662612
Viburnum_nudum_v_cassinoides,Viburnum  nudum v. cassinoides,42276,Possomhaw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.44498,35.638254
Viburnum_nudum_v_cassinoides,Viburnum  nudum v. cassinoides,42276,Possomhaw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.442142,35.635689
Viburnum_nudum_v_cassinoides,Viburnum  nudum v. cassinoides,42276,Possomhaw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.430076,35.678055
Viburnum_nudum_v_cassinoides,Viburnum  nudum v. cassinoides,42276,Possomhaw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.426832,35.477118
Viburnum_nudum_v_cassinoides,Viburnum  nudum v. cassinoides,42276,Possomhaw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.422784,35.642561
Viburnum_nudum_v_cassinoides,Viburnum  nudum v. cassinoides,42276,Possomhaw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.414288,35.480308
Viburnum_nudum_v_cassinoides,Viburnum  nudum v. cassinoides,42276,Possomhaw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.393728,35.735616
Viburnum_nudum_v_cassinoides,Viburnum  nudum v. cassinoides,42276,Possomhaw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.370363,35.644398
Viburnum_nudum_v_cassinoides,Viburnum  nudum v. cassinoides,42276,Possomhaw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.265973,35.730699
Viburnum_nudum_v_cassinoides,Viburnum  nudum v. cassinoides,42276,Possomhaw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.253176,35.733995
Viburnum_nudum_v_cassinoides,Viburnum  nudum v. cassinoides,42276,Possomhaw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.192072,35.7679
Viburnum_nudum_v_cassinoides,Viburnum  nudum v. cassinoides,42276,Possomhaw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.16517,35.757598
Viburnum_nudum_v_cassinoides,Viburnum  nudum v. cassinoides,42276,Possomhaw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.073242,35.668695
