genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Hyla_chrysoscelis,Hyla  chrysoscelis,20152,Cope's Gray Treefrog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.992217,35.5344
Hyla_chrysoscelis,Hyla  chrysoscelis,20152,Cope's Gray Treefrog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.843876,35.593854
Hyla_chrysoscelis,Hyla  chrysoscelis,20152,Cope's Gray Treefrog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.838747,35.587333
Hyla_chrysoscelis,Hyla  chrysoscelis,20152,Cope's Gray Treefrog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.838038,35.589125
Hyla_chrysoscelis,Hyla  chrysoscelis,20152,Cope's Gray Treefrog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.837954,35.589253
Hyla_chrysoscelis,Hyla  chrysoscelis,20152,Cope's Gray Treefrog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.835258,35.588848
Hyla_chrysoscelis,Hyla  chrysoscelis,20152,Cope's Gray Treefrog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.824063,35.598701
Hyla_chrysoscelis,Hyla  chrysoscelis,20152,Cope's Gray Treefrog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.821933,35.607187
Hyla_chrysoscelis,Hyla  chrysoscelis,20152,Cope's Gray Treefrog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.81712,35.6062
Hyla_chrysoscelis,Hyla  chrysoscelis,20152,Cope's Gray Treefrog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.816925,35.606628
Hyla_chrysoscelis,Hyla  chrysoscelis,20152,Cope's Gray Treefrog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.814984,35.592181
Hyla_chrysoscelis,Hyla  chrysoscelis,20152,Cope's Gray Treefrog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.811564,35.597867
Hyla_chrysoscelis,Hyla  chrysoscelis,20152,Cope's Gray Treefrog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.805539,35.610517
Hyla_chrysoscelis,Hyla  chrysoscelis,20152,Cope's Gray Treefrog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.793944,35.603676
Hyla_chrysoscelis,Hyla  chrysoscelis,20152,Cope's Gray Treefrog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.79249,35.60663
Hyla_chrysoscelis,Hyla  chrysoscelis,20152,Cope's Gray Treefrog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.788595,35.59329
Hyla_chrysoscelis,Hyla  chrysoscelis,20152,Cope's Gray Treefrog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.7885,35.593428
Hyla_chrysoscelis,Hyla  chrysoscelis,20152,Cope's Gray Treefrog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.782483,35.603851
Hyla_chrysoscelis,Hyla  chrysoscelis,20152,Cope's Gray Treefrog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.782112,35.603977
Hyla_chrysoscelis,Hyla  chrysoscelis,20152,Cope's Gray Treefrog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.743227,35.608699
Hyla_chrysoscelis,Hyla  chrysoscelis,20152,Cope's Gray Treefrog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.660446,35.669531
Hyla_chrysoscelis,Hyla  chrysoscelis,20152,Cope's Gray Treefrog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.537944,35.686473
Hyla_chrysoscelis,Hyla  chrysoscelis,20152,Cope's Gray Treefrog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.301177,35.517098
Hyla_chrysoscelis,Hyla  chrysoscelis,20152,Cope's Gray Treefrog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.215823,35.780806
Hyla_chrysoscelis,Hyla  chrysoscelis,20152,Cope's Gray Treefrog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.215716,35.780925
