genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Polytrichum_pallidisetum,Polytrichum  pallidisetum,32359,Polytrichum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.520496,35.559837
Polytrichum_pallidisetum,Polytrichum  pallidisetum,32359,Polytrichum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.478723,35.58313
Polytrichum_pallidisetum,Polytrichum  pallidisetum,32359,Polytrichum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.474621,35.588956
Polytrichum_pallidisetum,Polytrichum  pallidisetum,32359,Polytrichum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.473165,35.59151
Polytrichum_pallidisetum,Polytrichum  pallidisetum,32359,Polytrichum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.469122,35.650579
Polytrichum_pallidisetum,Polytrichum  pallidisetum,32359,Polytrichum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.465934,35.594263
Polytrichum_pallidisetum,Polytrichum  pallidisetum,32359,Polytrichum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.440791,35.621781
Polytrichum_pallidisetum,Polytrichum  pallidisetum,32359,Polytrichum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.439455,35.654799
Polytrichum_pallidisetum,Polytrichum  pallidisetum,32359,Polytrichum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.438071,35.645605
Polytrichum_pallidisetum,Polytrichum  pallidisetum,32359,Polytrichum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.436188,35.646527
Polytrichum_pallidisetum,Polytrichum  pallidisetum,32359,Polytrichum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.434654,35.620364
Polytrichum_pallidisetum,Polytrichum  pallidisetum,32359,Polytrichum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.433919,35.654334
Polytrichum_pallidisetum,Polytrichum  pallidisetum,32359,Polytrichum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.433713,35.663938
Polytrichum_pallidisetum,Polytrichum  pallidisetum,32359,Polytrichum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.431435,35.607728
Polytrichum_pallidisetum,Polytrichum  pallidisetum,32359,Polytrichum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.39533,35.628445
Polytrichum_pallidisetum,Polytrichum  pallidisetum,32359,Polytrichum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.394938,35.623071
Polytrichum_pallidisetum,Polytrichum  pallidisetum,32359,Polytrichum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.293353,35.673878
Polytrichum_pallidisetum,Polytrichum  pallidisetum,32359,Polytrichum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.287644,35.672419
Polytrichum_pallidisetum,Polytrichum  pallidisetum,32359,Polytrichum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.260246,35.687233
Polytrichum_pallidisetum,Polytrichum  pallidisetum,32359,Polytrichum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.254586,35.707936
Polytrichum_pallidisetum,Polytrichum  pallidisetum,32359,Polytrichum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.252819,35.71427
Polytrichum_pallidisetum,Polytrichum  pallidisetum,32359,Polytrichum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.25213,35.694109
Polytrichum_pallidisetum,Polytrichum  pallidisetum,32359,Polytrichum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.251333,35.695621
Polytrichum_pallidisetum,Polytrichum  pallidisetum,32359,Polytrichum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.249942,35.719651
Polytrichum_pallidisetum,Polytrichum  pallidisetum,32359,Polytrichum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.243103,35.738285
Polytrichum_pallidisetum,Polytrichum  pallidisetum,32359,Polytrichum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.229416,35.692712
Polytrichum_pallidisetum,Polytrichum  pallidisetum,32359,Polytrichum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.117382,35.708681
Polytrichum_pallidisetum,Polytrichum  pallidisetum,32359,Polytrichum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.111305,35.71672
