genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Chrysopsis_mariana,Chrysopsis  mariana,8562,Maryland Golden-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.991809,35.551624
Chrysopsis_mariana,Chrysopsis  mariana,8562,Maryland Golden-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.897639,35.466753
Chrysopsis_mariana,Chrysopsis  mariana,8562,Maryland Golden-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.883005,35.515999
Chrysopsis_mariana,Chrysopsis  mariana,8562,Maryland Golden-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.868004,35.520998
Chrysopsis_mariana,Chrysopsis  mariana,8562,Maryland Golden-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.854706,35.454627
Chrysopsis_mariana,Chrysopsis  mariana,8562,Maryland Golden-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.848905,35.455377
Chrysopsis_mariana,Chrysopsis  mariana,8562,Maryland Golden-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.846798,35.595335
Chrysopsis_mariana,Chrysopsis  mariana,8562,Maryland Golden-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.843679,35.455554
Chrysopsis_mariana,Chrysopsis  mariana,8562,Maryland Golden-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.835283,35.603629
Chrysopsis_mariana,Chrysopsis  mariana,8562,Maryland Golden-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.80679,35.59011
Chrysopsis_mariana,Chrysopsis  mariana,8562,Maryland Golden-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.618851,35.445619
