genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.922352,35.638373
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.501921,35.562342
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.499332,35.562811
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.496331,35.559601
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.496283,35.556997
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.495622,35.664995
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.494018,35.557215
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.492894,35.566856
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.491846,35.545848
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.491016,35.674934
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.49035,35.567017
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.48843,35.625078
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.48815,35.567576
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.485623,35.568268
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.485614,35.569413
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.481619,35.574732
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.481499,35.567262
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.480974,35.576702
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.479947,35.578472
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.476771,35.59606
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.476432,35.565348
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.475224,35.584878
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.471272,35.593442
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.470066,35.682649
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.46962,35.590699
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.467165,35.591588
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.465975,35.586988
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.464624,35.56056
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.463297,35.559019
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.463122,35.594699
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.462694,35.592977
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.452038,35.603606
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.451617,35.697475
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.449128,35.700293
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.448097,35.607922
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.447331,35.608875
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.447306,35.610607
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.445719,35.610675
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.442516,35.611704
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.441398,35.654435
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.440621,35.466284
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.440236,35.653602
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.424455,35.610907
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.422976,35.610179
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.398545,35.585267
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.398004,35.583403
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.397169,35.581319
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.396657,35.487412
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.395912,35.579875
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.394218,35.576348
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.392904,35.57778
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.39024,35.578374
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.386387,35.574944
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.383908,35.571721
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.383258,35.573239
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.382689,35.574882
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.372039,35.746474
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.362332,35.630052
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.352581,35.703725
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.348726,35.703413
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.321214,35.551662
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.308503,35.549202
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.305386,35.514323
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.305201,35.514011
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.305077,35.514689
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.30496,35.516377
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.304313,35.513406
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.300302,35.55402
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.284409,35.602665
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.23256,35.63142
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.223323,35.629625
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.217028,35.78118
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.21403,35.748848
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.212409,35.756197
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.212328,35.686942
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.210575,35.761847
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.210505,35.752527
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.206138,35.635449
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.204726,35.751876
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.204313,35.749738
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.202057,35.646107
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.201272,35.642434
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.197486,35.653366
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.197243,35.640885
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.196327,35.744827
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.189195,35.625987
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.181958,35.57013
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.181537,35.571697
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.179098,35.633517
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.178385,35.559999
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.161642,35.567512
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.161596,35.563754
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.160291,35.565688
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.159373,35.573006
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.158395,35.567372
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.104935,35.562963
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.097672,35.700111
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.073431,35.586262
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.073408,35.586199
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.073224,35.584201
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.072981,35.585918
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.072618,35.581679
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.07246,35.581537
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.071806,35.586578
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.07165,35.586942
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.068726,35.578825
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.068562,35.586174
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.066646,35.584188
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.065037,35.587713
Turdus_migratorius,Turdus  migratorius,41473,American Robin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.060886,35.616027
