genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Diervilla_sessilifolia,Diervilla  sessilifolia,11213,Southern Bush-honeysuckle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.912412,35.618804
Diervilla_sessilifolia,Diervilla  sessilifolia,11213,Southern Bush-honeysuckle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.443163,35.653642
Diervilla_sessilifolia,Diervilla  sessilifolia,11213,Southern Bush-honeysuckle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.442769,35.651207
Diervilla_sessilifolia,Diervilla  sessilifolia,11213,Southern Bush-honeysuckle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.441325,35.650948
Diervilla_sessilifolia,Diervilla  sessilifolia,11213,Southern Bush-honeysuckle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.44003,35.653011
Diervilla_sessilifolia,Diervilla  sessilifolia,11213,Southern Bush-honeysuckle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.439754,35.663166
Diervilla_sessilifolia,Diervilla  sessilifolia,11213,Southern Bush-honeysuckle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.439494,35.656078
Diervilla_sessilifolia,Diervilla  sessilifolia,11213,Southern Bush-honeysuckle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.438472,35.658424
Diervilla_sessilifolia,Diervilla  sessilifolia,11213,Southern Bush-honeysuckle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.438381,35.64093
Diervilla_sessilifolia,Diervilla  sessilifolia,11213,Southern Bush-honeysuckle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.435533,35.655112
Diervilla_sessilifolia,Diervilla  sessilifolia,11213,Southern Bush-honeysuckle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.386823,35.630497
Diervilla_sessilifolia,Diervilla  sessilifolia,11213,Southern Bush-honeysuckle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.267677,35.728396
Diervilla_sessilifolia,Diervilla  sessilifolia,11213,Southern Bush-honeysuckle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.265671,35.729794
Diervilla_sessilifolia,Diervilla  sessilifolia,11213,Southern Bush-honeysuckle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.263776,35.727297
Diervilla_sessilifolia,Diervilla  sessilifolia,11213,Southern Bush-honeysuckle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.259871,35.7303
Diervilla_sessilifolia,Diervilla  sessilifolia,11213,Southern Bush-honeysuckle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.256977,35.735096
Diervilla_sessilifolia,Diervilla  sessilifolia,11213,Southern Bush-honeysuckle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.256772,35.734496
Diervilla_sessilifolia,Diervilla  sessilifolia,11213,Southern Bush-honeysuckle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.256576,35.730299
Diervilla_sessilifolia,Diervilla  sessilifolia,11213,Southern Bush-honeysuckle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.254572,35.729796
Diervilla_sessilifolia,Diervilla  sessilifolia,11213,Southern Bush-honeysuckle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.253771,35.730397
Diervilla_sessilifolia,Diervilla  sessilifolia,11213,Southern Bush-honeysuckle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.161269,35.763401
