genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Eunotia_varioundulata,Eunotia  varioundulata,15636,Undulated Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.853964,35.591434
Eunotia_varioundulata,Eunotia  varioundulata,15636,Undulated Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.450601,35.67113
Eunotia_varioundulata,Eunotia  varioundulata,15636,Undulated Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.450545,35.607855
Eunotia_varioundulata,Eunotia  varioundulata,15636,Undulated Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.416957,35.622541
Eunotia_varioundulata,Eunotia  varioundulata,15636,Undulated Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.415451,35.600361
Eunotia_varioundulata,Eunotia  varioundulata,15636,Undulated Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.396573,35.667081
Eunotia_varioundulata,Eunotia  varioundulata,15636,Undulated Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.382706,35.705944
Eunotia_varioundulata,Eunotia  varioundulata,15636,Undulated Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.364208,35.593626
Eunotia_varioundulata,Eunotia  varioundulata,15636,Undulated Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.334022,35.700941
Eunotia_varioundulata,Eunotia  varioundulata,15636,Undulated Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.311037,35.561395
Eunotia_varioundulata,Eunotia  varioundulata,15636,Undulated Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.2792,35.737057
Eunotia_varioundulata,Eunotia  varioundulata,15636,Undulated Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.266221,35.726575
Eunotia_varioundulata,Eunotia  varioundulata,15636,Undulated Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.259218,35.607629
Eunotia_varioundulata,Eunotia  varioundulata,15636,Undulated Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.246604,35.732243
Eunotia_varioundulata,Eunotia  varioundulata,15636,Undulated Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.211437,35.619784
Eunotia_varioundulata,Eunotia  varioundulata,15636,Undulated Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.198763,35.744567
Eunotia_varioundulata,Eunotia  varioundulata,15636,Undulated Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.114036,35.622525
Eunotia_varioundulata,Eunotia  varioundulata,15636,Undulated Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.105586,35.757259
