genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Lonicera_japonica,Lonicera  japonica,23223,Japanese Honeysuckle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.980394,35.520921
Lonicera_japonica,Lonicera  japonica,23223,Japanese Honeysuckle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.559618,35.479178
Lonicera_japonica,Lonicera  japonica,23223,Japanese Honeysuckle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.532992,35.683603
Lonicera_japonica,Lonicera  japonica,23223,Japanese Honeysuckle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.525771,35.448712
Lonicera_japonica,Lonicera  japonica,23223,Japanese Honeysuckle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.510487,35.476542
Lonicera_japonica,Lonicera  japonica,23223,Japanese Honeysuckle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.49089,35.443921
Lonicera_japonica,Lonicera  japonica,23223,Japanese Honeysuckle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.435695,35.458208
Lonicera_japonica,Lonicera  japonica,23223,Japanese Honeysuckle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.418633,35.474912
Lonicera_japonica,Lonicera  japonica,23223,Japanese Honeysuckle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.393493,35.708543
Lonicera_japonica,Lonicera  japonica,23223,Japanese Honeysuckle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.381796,35.71028
Lonicera_japonica,Lonicera  japonica,23223,Japanese Honeysuckle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.303155,35.500655
Lonicera_japonica,Lonicera  japonica,23223,Japanese Honeysuckle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.302433,35.508213
Lonicera_japonica,Lonicera  japonica,23223,Japanese Honeysuckle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.301349,35.511542
Lonicera_japonica,Lonicera  japonica,23223,Japanese Honeysuckle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.301182,35.516521
Lonicera_japonica,Lonicera  japonica,23223,Japanese Honeysuckle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.301102,35.500189
Lonicera_japonica,Lonicera  japonica,23223,Japanese Honeysuckle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.298179,35.510945
Lonicera_japonica,Lonicera  japonica,23223,Japanese Honeysuckle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.297537,35.514725
Lonicera_japonica,Lonicera  japonica,23223,Japanese Honeysuckle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.113168,35.747895
