genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Agelaius_phoeniceus,Agelaius  phoeniceus,957,Red-winged Blackbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.85474,35.618211
Agelaius_phoeniceus,Agelaius  phoeniceus,957,Red-winged Blackbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.716781,35.665037
Agelaius_phoeniceus,Agelaius  phoeniceus,957,Red-winged Blackbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.714969,35.664366
Agelaius_phoeniceus,Agelaius  phoeniceus,957,Red-winged Blackbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.713662,35.662962
Agelaius_phoeniceus,Agelaius  phoeniceus,957,Red-winged Blackbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.713028,35.659551
Agelaius_phoeniceus,Agelaius  phoeniceus,957,Red-winged Blackbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.479947,35.578472
Agelaius_phoeniceus,Agelaius  phoeniceus,957,Red-winged Blackbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.438585,35.645433
Agelaius_phoeniceus,Agelaius  phoeniceus,957,Red-winged Blackbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.413015,35.615887
Agelaius_phoeniceus,Agelaius  phoeniceus,957,Red-winged Blackbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.306673,35.513063
Agelaius_phoeniceus,Agelaius  phoeniceus,957,Red-winged Blackbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.305077,35.514689
Agelaius_phoeniceus,Agelaius  phoeniceus,957,Red-winged Blackbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.269373,35.682184
Agelaius_phoeniceus,Agelaius  phoeniceus,957,Red-winged Blackbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.269033,35.686166
Agelaius_phoeniceus,Agelaius  phoeniceus,957,Red-winged Blackbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.071806,35.586578
