genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Carex_plantaginea,Carex  plantaginea,7063,Plantain-leaf Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.933891,35.611838
Carex_plantaginea,Carex  plantaginea,7063,Plantain-leaf Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.368888,35.583564
Carex_plantaginea,Carex  plantaginea,7063,Plantain-leaf Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.35767,35.586714
Carex_plantaginea,Carex  plantaginea,7063,Plantain-leaf Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.302433,35.508213
Carex_plantaginea,Carex  plantaginea,7063,Plantain-leaf Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.301349,35.511542
Carex_plantaginea,Carex  plantaginea,7063,Plantain-leaf Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.279576,35.735896
Carex_plantaginea,Carex  plantaginea,7063,Plantain-leaf Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.272075,35.6134
Carex_plantaginea,Carex  plantaginea,7063,Plantain-leaf Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.266546,35.613063
Carex_plantaginea,Carex  plantaginea,7063,Plantain-leaf Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.25517,35.609301
Carex_plantaginea,Carex  plantaginea,7063,Plantain-leaf Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.221569,35.743994
Carex_plantaginea,Carex  plantaginea,7063,Plantain-leaf Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.215671,35.633201
