genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Verbesina_occidentalis,Verbesina  occidentalis,42152,Yellow Crownbeard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.996006,35.557107
Verbesina_occidentalis,Verbesina  occidentalis,42152,Yellow Crownbeard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.787021,35.597545
Verbesina_occidentalis,Verbesina  occidentalis,42152,Yellow Crownbeard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.750735,35.635513
Verbesina_occidentalis,Verbesina  occidentalis,42152,Yellow Crownbeard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.750674,35.633712
Verbesina_occidentalis,Verbesina  occidentalis,42152,Yellow Crownbeard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.748529,35.635564
Verbesina_occidentalis,Verbesina  occidentalis,42152,Yellow Crownbeard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.747968,35.635306
Verbesina_occidentalis,Verbesina  occidentalis,42152,Yellow Crownbeard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.747395,35.634688
Verbesina_occidentalis,Verbesina  occidentalis,42152,Yellow Crownbeard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.715305,35.478306
Verbesina_occidentalis,Verbesina  occidentalis,42152,Yellow Crownbeard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.647132,35.441775
Verbesina_occidentalis,Verbesina  occidentalis,42152,Yellow Crownbeard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.646663,35.442245
Verbesina_occidentalis,Verbesina  occidentalis,42152,Yellow Crownbeard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.642687,35.446614
Verbesina_occidentalis,Verbesina  occidentalis,42152,Yellow Crownbeard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.641761,35.44694
Verbesina_occidentalis,Verbesina  occidentalis,42152,Yellow Crownbeard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.622225,35.446393
Verbesina_occidentalis,Verbesina  occidentalis,42152,Yellow Crownbeard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.610654,35.450331
Verbesina_occidentalis,Verbesina  occidentalis,42152,Yellow Crownbeard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.607095,35.450642
Verbesina_occidentalis,Verbesina  occidentalis,42152,Yellow Crownbeard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.571773,35.45186
Verbesina_occidentalis,Verbesina  occidentalis,42152,Yellow Crownbeard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.537056,35.687735
Verbesina_occidentalis,Verbesina  occidentalis,42152,Yellow Crownbeard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.527092,35.456085
Verbesina_occidentalis,Verbesina  occidentalis,42152,Yellow Crownbeard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.523599,35.671632
Verbesina_occidentalis,Verbesina  occidentalis,42152,Yellow Crownbeard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.50783,35.485358
Verbesina_occidentalis,Verbesina  occidentalis,42152,Yellow Crownbeard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.503986,35.497499
Verbesina_occidentalis,Verbesina  occidentalis,42152,Yellow Crownbeard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.208776,35.757598
Verbesina_occidentalis,Verbesina  occidentalis,42152,Yellow Crownbeard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.12817,35.738202
