genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Echiniscus_virginicus,Echiniscus  virginicus,13163,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.895538,35.539267
Echiniscus_virginicus,Echiniscus  virginicus,13163,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.549241,35.564316
Echiniscus_virginicus,Echiniscus  virginicus,13163,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.542794,35.611945
Echiniscus_virginicus,Echiniscus  virginicus,13163,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.542734,35.611802
Echiniscus_virginicus,Echiniscus  virginicus,13163,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.542486,35.612339
Echiniscus_virginicus,Echiniscus  virginicus,13163,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.542302,35.611406
Echiniscus_virginicus,Echiniscus  virginicus,13163,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.498969,35.685883
Echiniscus_virginicus,Echiniscus  virginicus,13163,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.498186,35.685583
Echiniscus_virginicus,Echiniscus  virginicus,13163,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.468484,35.631294
Echiniscus_virginicus,Echiniscus  virginicus,13163,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.464838,35.679331
Echiniscus_virginicus,Echiniscus  virginicus,13163,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.443802,35.609335
Echiniscus_virginicus,Echiniscus  virginicus,13163,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.443786,35.609173
Echiniscus_virginicus,Echiniscus  virginicus,13163,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.442992,35.609928
Echiniscus_virginicus,Echiniscus  virginicus,13163,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.436411,35.673843
Echiniscus_virginicus,Echiniscus  virginicus,13163,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.433503,35.673767
Echiniscus_virginicus,Echiniscus  virginicus,13163,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.432179,35.675993
Echiniscus_virginicus,Echiniscus  virginicus,13163,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.342825,35.707972
Echiniscus_virginicus,Echiniscus  virginicus,13163,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.342702,35.707532
Echiniscus_virginicus,Echiniscus  virginicus,13163,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.342634,35.70748
Echiniscus_virginicus,Echiniscus  virginicus,13163,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.342333,35.707386
Echiniscus_virginicus,Echiniscus  virginicus,13163,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.342121,35.7073
Echiniscus_virginicus,Echiniscus  virginicus,13163,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.334996,35.706664
Echiniscus_virginicus,Echiniscus  virginicus,13163,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.303026,35.507355
Echiniscus_virginicus,Echiniscus  virginicus,13163,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.30292,35.507104
Echiniscus_virginicus,Echiniscus  virginicus,13163,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.302906,35.507763
Echiniscus_virginicus,Echiniscus  virginicus,13163,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.280648,35.735109
Echiniscus_virginicus,Echiniscus  virginicus,13163,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.280301,35.735368
Echiniscus_virginicus,Echiniscus  virginicus,13163,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.280135,35.735362
Echiniscus_virginicus,Echiniscus  virginicus,13163,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.219933,35.7416
Echiniscus_virginicus,Echiniscus  virginicus,13163,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.217436,35.651503
Echiniscus_virginicus,Echiniscus  virginicus,13163,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.209357,35.748591
Echiniscus_virginicus,Echiniscus  virginicus,13163,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.082045,35.588205
Echiniscus_virginicus,Echiniscus  virginicus,13163,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.08115,35.58731
Echiniscus_virginicus,Echiniscus  virginicus,13163,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.081084,35.587717
Echiniscus_virginicus,Echiniscus  virginicus,13163,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.08099,35.587935
Echiniscus_virginicus,Echiniscus  virginicus,13163,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.080949,35.587629
Echiniscus_virginicus,Echiniscus  virginicus,13163,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.080821,35.58782
Echiniscus_virginicus,Echiniscus  virginicus,13163,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.061235,35.59005
Echiniscus_virginicus,Echiniscus  virginicus,13163,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.060241,35.59004
Echiniscus_virginicus,Echiniscus  virginicus,13163,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.059483,35.591892
