genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Carphophis_amoenus_amoenus,Carphophis  amoenus amoenus,7162,Eastern Wormsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.936449,35.612082
Carphophis_amoenus_amoenus,Carphophis  amoenus amoenus,7162,Eastern Wormsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.83567,35.582061
Carphophis_amoenus_amoenus,Carphophis  amoenus amoenus,7162,Eastern Wormsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.825191,35.599395
Carphophis_amoenus_amoenus,Carphophis  amoenus amoenus,7162,Eastern Wormsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.82153,35.599463
Carphophis_amoenus_amoenus,Carphophis  amoenus amoenus,7162,Eastern Wormsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.814213,35.624033
Carphophis_amoenus_amoenus,Carphophis  amoenus amoenus,7162,Eastern Wormsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.813991,35.598486
Carphophis_amoenus_amoenus,Carphophis  amoenus amoenus,7162,Eastern Wormsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.807985,35.646666
Carphophis_amoenus_amoenus,Carphophis  amoenus amoenus,7162,Eastern Wormsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.807433,35.646669
Carphophis_amoenus_amoenus,Carphophis  amoenus amoenus,7162,Eastern Wormsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.807056,35.608454
Carphophis_amoenus_amoenus,Carphophis  amoenus amoenus,7162,Eastern Wormsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.806869,35.609423
Carphophis_amoenus_amoenus,Carphophis  amoenus amoenus,7162,Eastern Wormsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.806836,35.609108
Carphophis_amoenus_amoenus,Carphophis  amoenus amoenus,7162,Eastern Wormsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.806812,35.609055
Carphophis_amoenus_amoenus,Carphophis  amoenus amoenus,7162,Eastern Wormsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.806592,35.608131
Carphophis_amoenus_amoenus,Carphophis  amoenus amoenus,7162,Eastern Wormsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.806557,35.608394
Carphophis_amoenus_amoenus,Carphophis  amoenus amoenus,7162,Eastern Wormsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.806383,35.60783
Carphophis_amoenus_amoenus,Carphophis  amoenus amoenus,7162,Eastern Wormsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.805899,35.612618
Carphophis_amoenus_amoenus,Carphophis  amoenus amoenus,7162,Eastern Wormsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.805768,35.609818
Carphophis_amoenus_amoenus,Carphophis  amoenus amoenus,7162,Eastern Wormsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.805166,35.613753
Carphophis_amoenus_amoenus,Carphophis  amoenus amoenus,7162,Eastern Wormsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.805123,35.612194
Carphophis_amoenus_amoenus,Carphophis  amoenus amoenus,7162,Eastern Wormsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.804793,35.60939
Carphophis_amoenus_amoenus,Carphophis  amoenus amoenus,7162,Eastern Wormsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.804618,35.610368
Carphophis_amoenus_amoenus,Carphophis  amoenus amoenus,7162,Eastern Wormsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.80336,35.61165
Carphophis_amoenus_amoenus,Carphophis  amoenus amoenus,7162,Eastern Wormsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.802934,35.612723
Carphophis_amoenus_amoenus,Carphophis  amoenus amoenus,7162,Eastern Wormsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.795324,35.608123
Carphophis_amoenus_amoenus,Carphophis  amoenus amoenus,7162,Eastern Wormsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.771693,35.558836
Carphophis_amoenus_amoenus,Carphophis  amoenus amoenus,7162,Eastern Wormsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.753754,35.462904
Carphophis_amoenus_amoenus,Carphophis  amoenus amoenus,7162,Eastern Wormsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.732737,35.633832
Carphophis_amoenus_amoenus,Carphophis  amoenus amoenus,7162,Eastern Wormsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.731056,35.637963
Carphophis_amoenus_amoenus,Carphophis  amoenus amoenus,7162,Eastern Wormsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.699601,35.640952
Carphophis_amoenus_amoenus,Carphophis  amoenus amoenus,7162,Eastern Wormsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.69945,35.652862
Carphophis_amoenus_amoenus,Carphophis  amoenus amoenus,7162,Eastern Wormsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.692138,35.642291
Carphophis_amoenus_amoenus,Carphophis  amoenus amoenus,7162,Eastern Wormsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.691899,35.642747
Carphophis_amoenus_amoenus,Carphophis  amoenus amoenus,7162,Eastern Wormsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.688659,35.638971
Carphophis_amoenus_amoenus,Carphophis  amoenus amoenus,7162,Eastern Wormsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.66279,35.680214
Carphophis_amoenus_amoenus,Carphophis  amoenus amoenus,7162,Eastern Wormsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.660018,35.67028
Carphophis_amoenus_amoenus,Carphophis  amoenus amoenus,7162,Eastern Wormsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.659856,35.670382
Carphophis_amoenus_amoenus,Carphophis  amoenus amoenus,7162,Eastern Wormsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.659547,35.670074
Carphophis_amoenus_amoenus,Carphophis  amoenus amoenus,7162,Eastern Wormsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.658973,35.670393
Carphophis_amoenus_amoenus,Carphophis  amoenus amoenus,7162,Eastern Wormsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.600475,35.450677
Carphophis_amoenus_amoenus,Carphophis  amoenus amoenus,7162,Eastern Wormsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.569083,35.669416
Carphophis_amoenus_amoenus,Carphophis  amoenus amoenus,7162,Eastern Wormsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.537789,35.689946
Carphophis_amoenus_amoenus,Carphophis  amoenus amoenus,7162,Eastern Wormsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.515116,35.669511
Carphophis_amoenus_amoenus,Carphophis  amoenus amoenus,7162,Eastern Wormsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.405572,35.490317
Carphophis_amoenus_amoenus,Carphophis  amoenus amoenus,7162,Eastern Wormsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.062359,35.58482
