genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Verbesina_alternifolia,Verbesina  alternifolia,42151,Wingstem,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.98009,35.521055
Verbesina_alternifolia,Verbesina  alternifolia,42151,Wingstem,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.749006,35.637896
Verbesina_alternifolia,Verbesina  alternifolia,42151,Wingstem,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.748232,35.636896
Verbesina_alternifolia,Verbesina  alternifolia,42151,Wingstem,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.746774,35.635261
Verbesina_alternifolia,Verbesina  alternifolia,42151,Wingstem,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.723672,35.47416
Verbesina_alternifolia,Verbesina  alternifolia,42151,Wingstem,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.715305,35.478306
Verbesina_alternifolia,Verbesina  alternifolia,42151,Wingstem,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.697446,35.479373
Verbesina_alternifolia,Verbesina  alternifolia,42151,Wingstem,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.696781,35.484544
Verbesina_alternifolia,Verbesina  alternifolia,42151,Wingstem,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.696649,35.641812
Verbesina_alternifolia,Verbesina  alternifolia,42151,Wingstem,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.696509,35.479367
Verbesina_alternifolia,Verbesina  alternifolia,42151,Wingstem,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.610654,35.450331
Verbesina_alternifolia,Verbesina  alternifolia,42151,Wingstem,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.598107,35.446915
Verbesina_alternifolia,Verbesina  alternifolia,42151,Wingstem,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.551818,35.454852
Verbesina_alternifolia,Verbesina  alternifolia,42151,Wingstem,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.550082,35.460207
Verbesina_alternifolia,Verbesina  alternifolia,42151,Wingstem,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.50783,35.485358
Verbesina_alternifolia,Verbesina  alternifolia,42151,Wingstem,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.503986,35.497499
Verbesina_alternifolia,Verbesina  alternifolia,42151,Wingstem,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.483275,35.696411
Verbesina_alternifolia,Verbesina  alternifolia,42151,Wingstem,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.415206,35.738449
Verbesina_alternifolia,Verbesina  alternifolia,42151,Wingstem,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.414348,35.482326
Verbesina_alternifolia,Verbesina  alternifolia,42151,Wingstem,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.38154,35.710204
Verbesina_alternifolia,Verbesina  alternifolia,42151,Wingstem,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.302433,35.508213
Verbesina_alternifolia,Verbesina  alternifolia,42151,Wingstem,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.301349,35.511542
Verbesina_alternifolia,Verbesina  alternifolia,42151,Wingstem,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.301102,35.500189
Verbesina_alternifolia,Verbesina  alternifolia,42151,Wingstem,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.299418,35.511498
Verbesina_alternifolia,Verbesina  alternifolia,42151,Wingstem,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.298179,35.510945
Verbesina_alternifolia,Verbesina  alternifolia,42151,Wingstem,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.126135,35.773105
