genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Eunotia_subarcuatoides,Eunotia  subarcuatoides,15628,Bowed Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.769324,35.561144
Eunotia_subarcuatoides,Eunotia  subarcuatoides,15628,Bowed Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.450996,35.627342
Eunotia_subarcuatoides,Eunotia  subarcuatoides,15628,Bowed Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.450601,35.67113
Eunotia_subarcuatoides,Eunotia  subarcuatoides,15628,Bowed Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.450545,35.607855
Eunotia_subarcuatoides,Eunotia  subarcuatoides,15628,Bowed Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.440884,35.62085
Eunotia_subarcuatoides,Eunotia  subarcuatoides,15628,Bowed Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.434027,35.604764
Eunotia_subarcuatoides,Eunotia  subarcuatoides,15628,Bowed Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.416957,35.622541
Eunotia_subarcuatoides,Eunotia  subarcuatoides,15628,Bowed Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.415451,35.600361
Eunotia_subarcuatoides,Eunotia  subarcuatoides,15628,Bowed Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.397226,35.678966
Eunotia_subarcuatoides,Eunotia  subarcuatoides,15628,Bowed Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.396573,35.667081
Eunotia_subarcuatoides,Eunotia  subarcuatoides,15628,Bowed Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.396358,35.721565
Eunotia_subarcuatoides,Eunotia  subarcuatoides,15628,Bowed Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.382706,35.705944
Eunotia_subarcuatoides,Eunotia  subarcuatoides,15628,Bowed Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.334022,35.700941
Eunotia_subarcuatoides,Eunotia  subarcuatoides,15628,Bowed Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.32826,35.613706
Eunotia_subarcuatoides,Eunotia  subarcuatoides,15628,Bowed Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.311037,35.561395
Eunotia_subarcuatoides,Eunotia  subarcuatoides,15628,Bowed Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.2792,35.737057
Eunotia_subarcuatoides,Eunotia  subarcuatoides,15628,Bowed Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.277235,35.756564
Eunotia_subarcuatoides,Eunotia  subarcuatoides,15628,Bowed Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.271784,35.728994
Eunotia_subarcuatoides,Eunotia  subarcuatoides,15628,Bowed Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.266221,35.726575
Eunotia_subarcuatoides,Eunotia  subarcuatoides,15628,Bowed Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.259218,35.607629
Eunotia_subarcuatoides,Eunotia  subarcuatoides,15628,Bowed Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.25172,35.726667
Eunotia_subarcuatoides,Eunotia  subarcuatoides,15628,Bowed Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.246604,35.732243
Eunotia_subarcuatoides,Eunotia  subarcuatoides,15628,Bowed Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.211437,35.619784
Eunotia_subarcuatoides,Eunotia  subarcuatoides,15628,Bowed Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.210563,35.759431
Eunotia_subarcuatoides,Eunotia  subarcuatoides,15628,Bowed Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.17458,35.571868
Eunotia_subarcuatoides,Eunotia  subarcuatoides,15628,Bowed Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.168465,35.55458
Eunotia_subarcuatoides,Eunotia  subarcuatoides,15628,Bowed Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.122067,35.58299
