genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Eunotia_minor,Eunotia  minor,15599,Minor Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.924781,35.505862
Eunotia_minor,Eunotia  minor,15599,Minor Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.333263,35.701046
Eunotia_minor,Eunotia  minor,15599,Minor Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.277235,35.756564
Eunotia_minor,Eunotia  minor,15599,Minor Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.271784,35.728994
Eunotia_minor,Eunotia  minor,15599,Minor Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.216185,35.744003
Eunotia_minor,Eunotia  minor,15599,Minor Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.211437,35.619784
Eunotia_minor,Eunotia  minor,15599,Minor Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.179435,35.770095
Eunotia_minor,Eunotia  minor,15599,Minor Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.13158,35.600491
Eunotia_minor,Eunotia  minor,15599,Minor Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.130907,35.637102
Eunotia_minor,Eunotia  minor,15599,Minor Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.122067,35.58299
Eunotia_minor,Eunotia  minor,15599,Minor Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.114036,35.622525
Eunotia_minor,Eunotia  minor,15599,Minor Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.075672,35.644377
