genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Dichanthelium_dichotomum_v_dichotomum,Dichanthelium  dichotomum v. dichotomum,12108,Cypress Rosette Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.984023,35.520678
Dichanthelium_dichotomum_v_dichotomum,Dichanthelium  dichotomum v. dichotomum,12108,Cypress Rosette Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.54839,35.4621
Dichanthelium_dichotomum_v_dichotomum,Dichanthelium  dichotomum v. dichotomum,12108,Cypress Rosette Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.545768,35.460731
Dichanthelium_dichotomum_v_dichotomum,Dichanthelium  dichotomum v. dichotomum,12108,Cypress Rosette Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.541129,35.46246
Dichanthelium_dichotomum_v_dichotomum,Dichanthelium  dichotomum v. dichotomum,12108,Cypress Rosette Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.525769,35.458528
Dichanthelium_dichotomum_v_dichotomum,Dichanthelium  dichotomum v. dichotomum,12108,Cypress Rosette Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.52526,35.464092
Dichanthelium_dichotomum_v_dichotomum,Dichanthelium  dichotomum v. dichotomum,12108,Cypress Rosette Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.501415,35.502041
Dichanthelium_dichotomum_v_dichotomum,Dichanthelium  dichotomum v. dichotomum,12108,Cypress Rosette Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.500686,35.505905
Dichanthelium_dichotomum_v_dichotomum,Dichanthelium  dichotomum v. dichotomum,12108,Cypress Rosette Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.425723,35.48053
Dichanthelium_dichotomum_v_dichotomum,Dichanthelium  dichotomum v. dichotomum,12108,Cypress Rosette Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.414348,35.482326
Dichanthelium_dichotomum_v_dichotomum,Dichanthelium  dichotomum v. dichotomum,12108,Cypress Rosette Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.309586,35.551994
Dichanthelium_dichotomum_v_dichotomum,Dichanthelium  dichotomum v. dichotomum,12108,Cypress Rosette Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.304953,35.546593
Dichanthelium_dichotomum_v_dichotomum,Dichanthelium  dichotomum v. dichotomum,12108,Cypress Rosette Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.302788,35.512533
Dichanthelium_dichotomum_v_dichotomum,Dichanthelium  dichotomum v. dichotomum,12108,Cypress Rosette Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.300361,35.549556
Dichanthelium_dichotomum_v_dichotomum,Dichanthelium  dichotomum v. dichotomum,12108,Cypress Rosette Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.29349,35.540267
Dichanthelium_dichotomum_v_dichotomum,Dichanthelium  dichotomum v. dichotomum,12108,Cypress Rosette Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.190674,35.762896
Dichanthelium_dichotomum_v_dichotomum,Dichanthelium  dichotomum v. dichotomum,12108,Cypress Rosette Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.12817,35.738202
Dichanthelium_dichotomum_v_dichotomum,Dichanthelium  dichotomum v. dichotomum,12108,Cypress Rosette Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.11177,35.749795
