genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Eunotia_incisa,Eunotia  incisa,15588,Incised Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.846325,35.560485
Eunotia_incisa,Eunotia  incisa,15588,Incised Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.333263,35.701046
Eunotia_incisa,Eunotia  incisa,15588,Incised Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.32826,35.613706
Eunotia_incisa,Eunotia  incisa,15588,Incised Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.311774,35.553268
Eunotia_incisa,Eunotia  incisa,15588,Incised Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.311037,35.561395
Eunotia_incisa,Eunotia  incisa,15588,Incised Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.2792,35.737057
Eunotia_incisa,Eunotia  incisa,15588,Incised Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.277235,35.756564
Eunotia_incisa,Eunotia  incisa,15588,Incised Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.271784,35.728994
Eunotia_incisa,Eunotia  incisa,15588,Incised Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.266221,35.726575
Eunotia_incisa,Eunotia  incisa,15588,Incised Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.259218,35.607629
Eunotia_incisa,Eunotia  incisa,15588,Incised Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.246604,35.732243
Eunotia_incisa,Eunotia  incisa,15588,Incised Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.218012,35.781559
Eunotia_incisa,Eunotia  incisa,15588,Incised Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.216185,35.744003
Eunotia_incisa,Eunotia  incisa,15588,Incised Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.210563,35.759431
Eunotia_incisa,Eunotia  incisa,15588,Incised Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.20055,35.746003
Eunotia_incisa,Eunotia  incisa,15588,Incised Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.198763,35.744567
Eunotia_incisa,Eunotia  incisa,15588,Incised Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.17458,35.571868
Eunotia_incisa,Eunotia  incisa,15588,Incised Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.168465,35.55458
Eunotia_incisa,Eunotia  incisa,15588,Incised Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.145534,35.634047
Eunotia_incisa,Eunotia  incisa,15588,Incised Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.130907,35.637102
Eunotia_incisa,Eunotia  incisa,15588,Incised Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.122067,35.58299
Eunotia_incisa,Eunotia  incisa,15588,Incised Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.119423,35.634618
Eunotia_incisa,Eunotia  incisa,15588,Incised Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.085591,35.6287
Eunotia_incisa,Eunotia  incisa,15588,Incised Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.075672,35.644377
