genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.919446,35.634658
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.283649,35.604645
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.280009,35.605137
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.277556,35.598811
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.241021,35.618498
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.15836,35.560747
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.15755,35.556434
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.109803,35.723453
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.093885,35.738263
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.091834,35.743112
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.091547,35.741035
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.072981,35.585918
