genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Lithobates_sylvaticus,Lithobates  sylvaticus,23068,Wood Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.990584,35.539136
Lithobates_sylvaticus,Lithobates  sylvaticus,23068,Wood Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.660446,35.669531
Lithobates_sylvaticus,Lithobates  sylvaticus,23068,Wood Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.649606,35.681758
Lithobates_sylvaticus,Lithobates  sylvaticus,23068,Wood Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.580998,35.657309
Lithobates_sylvaticus,Lithobates  sylvaticus,23068,Wood Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.572667,35.459538
Lithobates_sylvaticus,Lithobates  sylvaticus,23068,Wood Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.571832,35.642867
Lithobates_sylvaticus,Lithobates  sylvaticus,23068,Wood Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.558221,35.469535
Lithobates_sylvaticus,Lithobates  sylvaticus,23068,Wood Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.550168,35.681753
Lithobates_sylvaticus,Lithobates  sylvaticus,23068,Wood Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.537944,35.686473
Lithobates_sylvaticus,Lithobates  sylvaticus,23068,Wood Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.52711,35.454534
Lithobates_sylvaticus,Lithobates  sylvaticus,23068,Wood Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.402767,35.497188
Lithobates_sylvaticus,Lithobates  sylvaticus,23068,Wood Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.401103,35.726085
Lithobates_sylvaticus,Lithobates  sylvaticus,23068,Wood Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.374319,35.749539
Lithobates_sylvaticus,Lithobates  sylvaticus,23068,Wood Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.358769,35.718711
Lithobates_sylvaticus,Lithobates  sylvaticus,23068,Wood Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.343318,35.511086
Lithobates_sylvaticus,Lithobates  sylvaticus,23068,Wood Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.309311,35.550097
Lithobates_sylvaticus,Lithobates  sylvaticus,23068,Wood Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.306173,35.513677
Lithobates_sylvaticus,Lithobates  sylvaticus,23068,Wood Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.300425,35.508162
Lithobates_sylvaticus,Lithobates  sylvaticus,23068,Wood Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.299592,35.508709
Lithobates_sylvaticus,Lithobates  sylvaticus,23068,Wood Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.299033,35.50881
Lithobates_sylvaticus,Lithobates  sylvaticus,23068,Wood Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.269606,35.762874
Lithobates_sylvaticus,Lithobates  sylvaticus,23068,Wood Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.264056,35.604239
Lithobates_sylvaticus,Lithobates  sylvaticus,23068,Wood Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.215716,35.780925
Lithobates_sylvaticus,Lithobates  sylvaticus,23068,Wood Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.212208,35.773301
Lithobates_sylvaticus,Lithobates  sylvaticus,23068,Wood Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.121085,35.636914
Lithobates_sylvaticus,Lithobates  sylvaticus,23068,Wood Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.120978,35.637043
Lithobates_sylvaticus,Lithobates  sylvaticus,23068,Wood Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.120704,35.617044
Lithobates_sylvaticus,Lithobates  sylvaticus,23068,Wood Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.116534,35.620931
Lithobates_sylvaticus,Lithobates  sylvaticus,23068,Wood Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.107924,35.628158
Lithobates_sylvaticus,Lithobates  sylvaticus,23068,Wood Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.10792,35.628429
Lithobates_sylvaticus,Lithobates  sylvaticus,23068,Wood Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.099864,35.628984
Lithobates_sylvaticus,Lithobates  sylvaticus,23068,Wood Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.098476,35.662037
Lithobates_sylvaticus,Lithobates  sylvaticus,23068,Wood Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.093754,35.629262
Lithobates_sylvaticus,Lithobates  sylvaticus,23068,Wood Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.074313,35.652874
Lithobates_sylvaticus,Lithobates  sylvaticus,23068,Wood Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.074305,35.653433
Lithobates_sylvaticus,Lithobates  sylvaticus,23068,Wood Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.072618,35.581679
Lithobates_sylvaticus,Lithobates  sylvaticus,23068,Wood Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.068199,35.671486
