genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Solidago_arguta_variety,Solidago  arguta variety,37364,Atlantic Goldenrod,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.999622,35.556477
Solidago_arguta_variety,Solidago  arguta variety,37364,Atlantic Goldenrod,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.707002,35.568996
Solidago_arguta_variety,Solidago  arguta variety,37364,Atlantic Goldenrod,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.682703,35.498613
Solidago_arguta_variety,Solidago  arguta variety,37364,Atlantic Goldenrod,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.60948,35.449806
Solidago_arguta_variety,Solidago  arguta variety,37364,Atlantic Goldenrod,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.602394,35.518391
Solidago_arguta_variety,Solidago  arguta variety,37364,Atlantic Goldenrod,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.564011,35.565994
Solidago_arguta_variety,Solidago  arguta variety,37364,Atlantic Goldenrod,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.527552,35.534081
Solidago_arguta_variety,Solidago  arguta variety,37364,Atlantic Goldenrod,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.494005,35.538998
Solidago_arguta_variety,Solidago  arguta variety,37364,Atlantic Goldenrod,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.230739,35.61676
Solidago_arguta_variety,Solidago  arguta variety,37364,Atlantic Goldenrod,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.201,35.642998
Solidago_arguta_variety,Solidago  arguta variety,37364,Atlantic Goldenrod,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.19457,35.763402
Solidago_arguta_variety,Solidago  arguta variety,37364,Atlantic Goldenrod,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.190674,35.762896
Solidago_arguta_variety,Solidago  arguta variety,37364,Atlantic Goldenrod,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.116769,35.748995
