genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Hypsibius_convergens,Hypsibius  convergens,20553,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.878159,35.465164
Hypsibius_convergens,Hypsibius  convergens,20553,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.468687,35.632128
Hypsibius_convergens,Hypsibius  convergens,20553,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.468581,35.630841
Hypsibius_convergens,Hypsibius  convergens,20553,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.468502,35.63224
Hypsibius_convergens,Hypsibius  convergens,20553,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.468484,35.631294
Hypsibius_convergens,Hypsibius  convergens,20553,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.46846,35.632304
Hypsibius_convergens,Hypsibius  convergens,20553,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.468443,35.632097
Hypsibius_convergens,Hypsibius  convergens,20553,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.459325,35.61056
Hypsibius_convergens,Hypsibius  convergens,20553,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.459272,35.610615
Hypsibius_convergens,Hypsibius  convergens,20553,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.458253,35.610492
Hypsibius_convergens,Hypsibius  convergens,20553,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.446846,35.65308
Hypsibius_convergens,Hypsibius  convergens,20553,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.44536,35.625699
Hypsibius_convergens,Hypsibius  convergens,20553,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.443802,35.609335
Hypsibius_convergens,Hypsibius  convergens,20553,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.443786,35.609173
Hypsibius_convergens,Hypsibius  convergens,20553,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.443544,35.609205
Hypsibius_convergens,Hypsibius  convergens,20553,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.442992,35.609928
Hypsibius_convergens,Hypsibius  convergens,20553,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.436411,35.673843
Hypsibius_convergens,Hypsibius  convergens,20553,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.432179,35.675993
Hypsibius_convergens,Hypsibius  convergens,20553,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.382371,35.705825
Hypsibius_convergens,Hypsibius  convergens,20553,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.342121,35.7073
Hypsibius_convergens,Hypsibius  convergens,20553,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.302431,35.508114
Hypsibius_convergens,Hypsibius  convergens,20553,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.280317,35.73553
Hypsibius_convergens,Hypsibius  convergens,20553,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.219933,35.7416
Hypsibius_convergens,Hypsibius  convergens,20553,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.217436,35.651503
Hypsibius_convergens,Hypsibius  convergens,20553,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.217321,35.778561
Hypsibius_convergens,Hypsibius  convergens,20553,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.210163,35.760168
Hypsibius_convergens,Hypsibius  convergens,20553,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.117781,35.619665
Hypsibius_convergens,Hypsibius  convergens,20553,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.113272,35.624522
Hypsibius_convergens,Hypsibius  convergens,20553,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.08935,35.626372
Hypsibius_convergens,Hypsibius  convergens,20553,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.082172,35.637359
Hypsibius_convergens,Hypsibius  convergens,20553,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.082045,35.588205
Hypsibius_convergens,Hypsibius  convergens,20553,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.08115,35.58731
Hypsibius_convergens,Hypsibius  convergens,20553,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.081084,35.587717
Hypsibius_convergens,Hypsibius  convergens,20553,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.080949,35.587629
Hypsibius_convergens,Hypsibius  convergens,20553,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.080821,35.58782
