genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Melospiza_melodia,Melospiza  melodia,24246,Song Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.936236,35.607761
Melospiza_melodia,Melospiza  melodia,24246,Song Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.536709,35.684804
Melospiza_melodia,Melospiza  melodia,24246,Song Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.531942,35.688826
Melospiza_melodia,Melospiza  melodia,24246,Song Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.530436,35.688046
Melospiza_melodia,Melospiza  melodia,24246,Song Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.502992,35.456218
Melospiza_melodia,Melospiza  melodia,24246,Song Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.496888,35.45977
Melospiza_melodia,Melospiza  melodia,24246,Song Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.496283,35.556997
Melospiza_melodia,Melospiza  melodia,24246,Song Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.495732,35.456576
Melospiza_melodia,Melospiza  melodia,24246,Song Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.493111,35.666634
Melospiza_melodia,Melospiza  melodia,24246,Song Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.44481,35.637735
Melospiza_melodia,Melospiza  melodia,24246,Song Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.442823,35.655875
Melospiza_melodia,Melospiza  melodia,24246,Song Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.439972,35.462322
Melospiza_melodia,Melospiza  melodia,24246,Song Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.372039,35.746474
Melospiza_melodia,Melospiza  melodia,24246,Song Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.315928,35.558876
Melospiza_melodia,Melospiza  melodia,24246,Song Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.314602,35.557261
Melospiza_melodia,Melospiza  melodia,24246,Song Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.312519,35.550405
Melospiza_melodia,Melospiza  melodia,24246,Song Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.310376,35.550284
Melospiza_melodia,Melospiza  melodia,24246,Song Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.308788,35.552604
Melospiza_melodia,Melospiza  melodia,24246,Song Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.306673,35.513063
Melospiza_melodia,Melospiza  melodia,24246,Song Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.305633,35.516013
Melospiza_melodia,Melospiza  melodia,24246,Song Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.305386,35.514323
Melospiza_melodia,Melospiza  melodia,24246,Song Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.305201,35.514011
Melospiza_melodia,Melospiza  melodia,24246,Song Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.305077,35.514689
Melospiza_melodia,Melospiza  melodia,24246,Song Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.30496,35.516377
Melospiza_melodia,Melospiza  melodia,24246,Song Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.099925,35.628803
Melospiza_melodia,Melospiza  melodia,24246,Song Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.073431,35.586262
Melospiza_melodia,Melospiza  melodia,24246,Song Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.073408,35.586199
Melospiza_melodia,Melospiza  melodia,24246,Song Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.073224,35.584201
Melospiza_melodia,Melospiza  melodia,24246,Song Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.072618,35.581679
Melospiza_melodia,Melospiza  melodia,24246,Song Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.07246,35.581537
Melospiza_melodia,Melospiza  melodia,24246,Song Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.071806,35.586578
Melospiza_melodia,Melospiza  melodia,24246,Song Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.07165,35.586942
Melospiza_melodia,Melospiza  melodia,24246,Song Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.070571,35.581885
Melospiza_melodia,Melospiza  melodia,24246,Song Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.069553,35.579234
Melospiza_melodia,Melospiza  melodia,24246,Song Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.069406,35.587206
Melospiza_melodia,Melospiza  melodia,24246,Song Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.068726,35.578825
Melospiza_melodia,Melospiza  melodia,24246,Song Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.068562,35.586174
Melospiza_melodia,Melospiza  melodia,24246,Song Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.066646,35.584188
Melospiza_melodia,Melospiza  melodia,24246,Song Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.066513,35.584596
Melospiza_melodia,Melospiza  melodia,24246,Song Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.066051,35.586371
Melospiza_melodia,Melospiza  melodia,24246,Song Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.060207,35.590005
